City_ID,City,Country,Date,Max Temp,Cloudiness,Wind Speed,Humidity,Lng,Lat
192,Rønne,DK,1651350417,6.95,98,1.54,93,14.7066,55.1009
193,Tautira,PF,1651350191,26.62,58,6.41,75,-149.15,-17.7333
194,Horta,PT,1651350417,17.8,20,4.12,77,-28.6333,38.5333
195,Alice Springs,AU,1651350319,14.75,75,3.09,67,133.8833,-23.7
196,Comitancillo,GT,1651350418,20.93,61,1.12,70,-91.7167,15.0833
197,Podgornoye,RU,1651350418,6.12,0,3.0,52,39.1496,51.735
198,Mahrīz,IR,1651350419,15.28,22,0.56,65,54.4318,31.5917
199,Fort-Shevchenko,KZ,1651350419,14.06,2,8.37,87,50.263,44.5086
200,La Arena,PE,1651350420,30.66,75,5.7,40,-80.7109,-5.3466
201,Los Llanos de Aridane,ES,1651350420,17.86,20,6.69,82,-17.9182,28.6585
202,Mayo,US,1651350267,22.23,0,4.47,32,-76.5119,38.8876
203,Karasburg,NA,1651350421,14.33,0,3.18,23,18.75,-28.0167
204,Sur,OM,1651350422,31.57,90,1.64,53,59.5289,22.5667
205,Farah,AF,1651350422,27.96,100,1.06,14,62.5,32.5
206,Byron Bay,AU,1651350164,17.94,100,5.1,88,153.6167,-28.65
207,Dzaoudzi,YT,1651350423,26.94,75,2.57,83,45.2699,-12.7887
208,Indianola,US,1651350424,12.27,100,9.69,77,-93.5574,41.3581
209,Yatou,CN,1651350424,7.62,38,3.51,33,122.3833,37.15
210,Bayanday,RU,1651350425,8.51,100,1.91,87,105.5139,53.0661
211,Lázaro Cárdenas,MX,1651350332,28.78,38,4.58,52,-102.2,17.9583
212,Thompson,CA,1651350425,6.09,100,5.14,56,-97.8558,55.7435
213,Lubbock,US,1651350152,25.77,20,2.57,14,-101.8338,33.6001
214,College,US,1651350426,12.27,75,4.12,35,-147.8028,64.8569
215,Barranca,PE,1651350427,20.96,59,4.04,75,-77.7667,-10.75
216,Avera,US,1651350427,28.08,7,3.09,40,-82.5271,33.194
217,Beyneu,KZ,1651350428,18.0,46,4.36,74,55.2,45.3167
218,Fort Nelson,CA,1651350428,7.77,40,4.12,42,-122.7002,58.8053
219,Kwinana,AU,1651350429,13.23,0,2.34,82,115.7667,-32.25
220,Kushima,JP,1651349849,15.82,100,2.0,82,131.2333,31.4583
221,San Luis,AR,1651350429,19.25,0,0.68,34,-66.3356,-33.295
222,São Filipe,CV,1651350430,22.41,83,3.76,75,-24.4956,14.8961
223,Charters Towers,AU,1651350420,19.47,0,3.21,82,146.2667,-20.1
224,Kavieng,PG,1651350431,27.45,100,1.42,75,150.7967,-2.5744
225,Keetmanshoop,NA,1651350431,17.3,0,4.77,21,18.1333,-26.5833
226,Ormstown,CA,1651350432,16.06,97,1.86,46,-73.9992,45.1334
227,Sinnamary,GF,1651350432,27.93,46,4.17,72,-52.95,5.3833
228,Rawson,AR,1651350433,14.62,60,9.71,46,-65.1023,-43.3002
229,Takoradze,GH,1651350434,27.47,85,3.97,82,-1.7554,4.8845
230,Ceres,US,1651350280,27.18,0,7.72,40,-120.9577,37.5949
231,Dagda,LV,1651350435,2.52,56,0.93,58,27.5372,56.0951
232,Havre-St-Pierre,CA,1651350436,3.0,100,7.72,87,-63.5986,50.2334
233,Ambovombe,MG,1651350436,21.39,3,4.26,75,46.0833,-25.1667
234,Kyshtovka,RU,1651350437,5.3,97,6.43,62,76.6271,56.555
235,Marsh Harbour,BS,1651350438,22.33,100,8.91,83,-77.0636,26.5412
236,Luorong,CN,1651350439,15.14,100,6.08,85,109.6086,24.4058
237,Huarmey,PE,1651350439,22.43,68,5.2,74,-78.1522,-10.0681
238,Port Dickson,MY,1651350440,25.68,100,2.95,81,101.7959,2.5228
239,Calgary,CA,1651349569,14.25,84,2.68,36,-114.0853,51.0501
240,Matara,LK,1651350442,27.21,96,4.5,86,80.5353,5.9485
241,Hasaki,JP,1651350181,7.22,100,4.64,61,140.8333,35.7333
242,San Policarpo,PH,1651350443,26.66,100,4.02,79,125.5072,12.1791
243,Berlevåg,NO,1651350254,-2.0,94,6.51,74,29.0864,70.8578
